year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Lincoln,Gross Misdemeanor,9,9,17,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lincoln,Misdemeanor,14,22,16,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lincoln,Juvenile,2,10,2,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lyon,Felony,80,86,357,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lyon,Gross Misdemeanor,91,98,202,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lyon,Misdemeanor,176,172,184,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lyon,Juvenile,54,62,51,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mahnomen,Felony,62,63,158,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mahnomen,Gross Misdemeanor,18,11,47,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mahnomen,Misdemeanor,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mahnomen,Juvenile,22,16,29,NA,NA,NA,NA,NA,NA,NA,NA
2014,Marshall,Felony,24,15,59,NA,NA,NA,NA,NA,NA,NA,NA
2014,Marshall,Gross Misdemeanor,17,3,31,NA,NA,NA,NA,NA,NA,NA,NA
2014,Marshall,Misdemeanor,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
2014,Marshall,Juvenile,8,5,13,NA,NA,NA,NA,NA,NA,NA,NA
2014,Martin,Felony,78,71,208,NA,NA,NA,NA,NA,NA,NA,NA
2014,Martin,Gross Misdemeanor,49,43,95,NA,NA,NA,NA,NA,NA,NA,NA
2014,Martin,Misdemeanor,72,46,91,NA,NA,NA,NA,NA,NA,NA,NA
2014,Martin,Juvenile,56,48,48,NA,NA,NA,NA,NA,NA,NA,NA
2014,McLeod,Felony,87,86,239,NA,NA,NA,NA,NA,NA,NA,NA
2014,McLeod,Gross Misdemeanor,65,65,113,NA,NA,NA,NA,NA,NA,NA,NA
2014,McLeod,Misdemeanor,150,137,145,NA,NA,NA,NA,NA,NA,NA,NA
2014,McLeod,Juvenile,54,49,43,NA,NA,NA,NA,NA,NA,NA,NA
